Product,ActionSet,Action,Action_Describe,Action_Link,Node_Name
SAS Visual Analytics,accessControl,updSomeAcsAction,"Adds, deletes, and modifies some access controls for an action",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacsaction.htm&locale=en,A_updSomeAcsAction2
SAS Visual Analytics,accessControl,updSomeAcsActionSet,"Adds, deletes, and modifies some access controls for an action set",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacsactionset.htm&locale=en,A_updSomeAcsActionSet1
SAS Visual Analytics,accessControl,updSomeAcsCaslib,"Adds, deletes, and modifies some access controls for a caslib",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacscaslib.htm&locale=en,A_updSomeAcsCaslib0
SAS Visual Analytics,accessControl,updSomeAcsColumn,"Adds, deletes, and modifies some access controls for a column",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacscolumn.htm&locale=en,A_updSomeAcsColumn2
SAS Visual Analytics,accessControl,updSomeAcsTable,"Adds, deletes, and modifies some access controls for a table",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacstable.htm&locale=en,A_updSomeAcsTable0
SAS Visual Analytics,accessControl,whatCheckoutsExist,"Lists checkouts held on an object, its parents, and optionally its children",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-whatcheckoutsexist.htm&locale=en,A_whatCheckoutsExist2
SAS Visual Analytics,accessControl,whatIsEffective,Lists effective access and explanations (Origins),http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-whatiseffective.htm&locale=en,A_whatIsEffective2
SAS Visual Analytics,aggregation,aggregate,Performs aggregation on selected variables,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-aggregation-aggregate.htm&locale=en,A_aggregate0
SAS Visual Analytics,aStore,describe,Describes some of the contents of the analytic store,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=cas-astore-describe.htm&locale=en,A_describe1
SAS Visual Analytics,aStore,download,Downloads a remote store to a local store,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=cas-astore-download.htm&locale=en,A_download0
SAS Visual Analytics,aStore,score,Uses an analytic store to score an input table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=cas-astore-score.htm&locale=en,A_score1
